survey_id,survey_date,survey_name,question_description,response_total,response_1_text,response_1_percent,response_2_text,response_2_percent,response_3_text,response_3_percent,response_4_text,response_4_percent,response_5_text,response_5_percent,response_6_text,response_6_percent,response_7_text,response_7_percent
1150,2018-03-01,"MBTA Customer Opinion Panel","The mbta provides reliable public transportation services.",710,"Strongly Disagree",.1580000000,Disagree,.1580000000,"Slightly Disagree",.1407000000,"Neither Agree nor Disagree",.0962000000,"Slightly Agree",.2183000000,Agree,.2038000000,"Strongly Agree",.0386000000
1151,2018-03-01,"MBTA Customer Opinion Panel","The mbta is a cost-conscious organization.",712,"Strongly Disagree",.1713000000,Disagree,.1713000000,"Slightly Disagree",.1424000000,"Neither Agree nor Disagree",.1892000000,"Slightly Agree",.1772000000,Agree,.1520000000,"Strongly Agree",.0336000000
1152,2018-03-01,"MBTA Customer Opinion Panel","The mbta uses technology to meet the needs and demands of its riders.",712,"Strongly Disagree",.0999000000,Disagree,.0999000000,"Slightly Disagree",.1171000000,"Neither Agree nor Disagree",.1333000000,"Slightly Agree",.2974000000,Agree,.2094000000,"Strongly Agree",.0284000000
1153,2018-03-01,"MBTA Customer Opinion Panel","The mbta is a good value for the money.",712,"Strongly Disagree",.0878000000,Disagree,.0878000000,"Slightly Disagree",.1468000000,"Neither Agree nor Disagree",.1285000000,"Slightly Agree",.1780000000,Agree,.2596000000,"Strongly Agree",.1123000000
1154,2018-03-01,"MBTA Customer Opinion Panel","The mbta has a fleet of trains and buses that are clean and well maintained.",711,"Strongly Disagree",.1635000000,Disagree,.1635000000,"Slightly Disagree",.1789000000,"Neither Agree nor Disagree",.1296000000,"Slightly Agree",.2133000000,Agree,.1296000000,"Strongly Agree",.0357000000
1155,2018-03-01,"MBTA Customer Opinion Panel","Wait time at stop",711,Unacceptable,.0902000000,"Very Poor",.0902000000,Poor,.0863000000,Fair,.1016000000,Good,.1124000000,"Very Good",.3547000000,Excellent,.1946000000
1156,2018-03-01,"MBTA Customer Opinion Panel","Stop condition &amp; cleanliness",705,Unacceptable,.0322000000,"Very Poor",.0322000000,Poor,.1186000000,Fair,.2199000000,Good,.1172000000,"Very Good",.3658000000,Excellent,.0953000000
1157,2018-03-01,"MBTA Customer Opinion Panel","Vehicle crowdedness",710,Unacceptable,.0712000000,"Very Poor",.0712000000,Poor,.1168000000,Fair,.1257000000,Good,.1297000000,"Very Good",.3291000000,Excellent,.1673000000
1158,2018-03-01,"MBTA Customer Opinion Panel","Vehicle cleanliness",707,Unacceptable,.0291000000,"Very Poor",.0291000000,Poor,.1201000000,Fair,.1764000000,Good,.1400000000,"Very Good",.3733000000,Excellent,.1103000000
1159,2018-03-01,"MBTA Customer Opinion Panel","Speed/travel time",710,Unacceptable,.0702000000,"Very Poor",.0702000000,Poor,.1056000000,Fair,.1313999999,Good,.1277000000,"Very Good",.3394000000,Excellent,.1585000000
1160,2018-03-01,"MBTA Customer Opinion Panel","Parking availability",212,Unacceptable,.1780000000,"Very Poor",.1780000000,Poor,.0469000000,Fair,.1933000000,Good,.0807000000,"Very Good",.3080000000,Excellent,.1402000000
1161,2018-03-01,"MBTA Customer Opinion Panel","Real-time communications",661,Unacceptable,.0917000000,"Very Poor",.0917000000,Poor,.0987000000,Fair,.1451000000,Good,.1239000000,"Very Good",.3566000000,Excellent,.1071000000
1162,2018-03-01,"MBTA Customer Opinion Panel","How satisfied are you with the MBTA's communication overall?",720,"Extremely Dissatisfied",.0544000000,"Very Dissatisfied",.0544000000,"Somewhat Dissatisfied",.1318000000,Neutral,.1402000000,"Somewhat Satisfied",.2553000000,"Very Satisfied",.2834000000,"Extremely Satisfied",.0491000000
1163,2018-03-01,"MBTA Customer Opinion Panel",,715,"Extremely Dissatisfied",.0696000000,"Very Dissatisfied",.0696000000,"Somewhat Dissatisfied",.1194000000,Neutral,.0909000000,"Somewhat Satisfied",.1511000000,"Very Satisfied",.3922000000,"Extremely Satisfied",.0924000000
